Date,Close/Last,Volume,Open,High,Low,capital,BUY_MIN,BUY_MAX,SELL_MIN,SELL_MAX,TRANSACTION_FEE,TRANSACTION_SESSION,TRANSACTION_PENALTY,TOTAL_ASSETS,WIN_THRESHOLD
09/11/2023,$549.30,1242473,$551.21,$553.69,$547.977,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/16/2020,$276.87,834723,$274.64,$276.89,$273.31,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
12/15/2015,$97.98,1743295,$97.47,$99.36,$96.89,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/22/2021,$401.55,1179232,$408.16,$408.835,$401.24,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/08/2024,$659.58,1022474,$660.58,$663.09,$655.94,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/11/2023,$463.70,1176635,$465.65,$466.88,$455.56,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/31/2017,$141.45,2337152,$140.07,$141.69,$139.76,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/21/2018,$173.32,1460090,$174.50,$176.255,$173.21,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/22/2022,$483.25,2282895,$479.93,$494.37,$476.87,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/03/2021,$530.18,870968,$528.89,$532.11,$524.26,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/26/2024,$637.48,1169588,$628.00,$638.645,$624.49,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/22/2021,$477.56,1480629,$477.31,$479.74,$475.12,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/02/2017,$125.17,1541567,$123.94,$125.42,$123.86,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
12/18/2015,$95.57,4482384,$97.20,$97.64,$94.8555,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/24/2016,$101.89,1331843,$101.38,$102.12,$100.69,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/29/2019,$258.89,721546,$261.34,$262.42,$258.34,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/09/2017,$124.76,1294830,$125.93,$126.00,$124.27,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
04/24/2018,$178.57,1220032,$181.19,$182.93,$176.77,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
04/10/2023,$444.72,1165961,$441.29,$445.96,$435.9353,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/18/2016,$107.15,897266,$107.97,$108.7999,$107.08,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/16/2018,$178.59,1561710,$178.16,$179.30,$177.51,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/14/2016,$99.43,1181398,$99.61,$100.17,$99.21,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/21/2018,$176.66,1256689,$177.60,$178.88,$175.81,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/14/2016,$108.11,1962558,$106.97,$108.19,$106.72,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/15/2019,$258.13,3464058,$256.50,$259.86,$256.26,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/25/2015,$97.315,1437307,$99.65,$99.70,$97.30,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/30/2024,$621.00,1361563,$618.20,$623.70,$616.20,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/08/2015,$104.50,885435,$105.35,$105.80,$104.4629,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/06/2024,$635.30,908634,$644.59,$645.85,$630.95,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/16/2016,$95.36,2240119,$93.70,$95.81,$93.68,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/30/2017,$151.45,953949,$153.22,$153.26,$150.385,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/11/2017,$143.66,1217023,$144.17,$144.68,$143.18,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/07/2022,$410.84,1585073,$399.365,$411.615,$397.87,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
03/09/2022,$464.74,1950593,$456.48,$469.96,$452.001,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/09/2018,$192.67,931181,$190.65,$193.68,$189.85,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/04/2023,$517.46,1560992,$513.34,$519.90,$508.67,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/20/2019,$269.18,1657967,$269.98,$272.91,$267.46,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/03/2023,$391.18,1874001,$396.70,$404.45,$385.22,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/27/2016,$107.89,1386391,$107.29,$107.93,$106.84,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/16/2020,$313.38,1668809,$324.86,$326.23,$312.61,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/12/2015,$104.72,963840,$104.01,$105.08,$103.11,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
12/24/2019,$264.33,417130,$266.60,$267.21,$264.29,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/29/2024,$598.28,1893244,$593.20,$611.30,$593.20,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/16/2018,$190.41,1513315,$190.38,$191.43,$188.80,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/26/2024,$636.83,1084495,$645.00,$645.9249,$633.87,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/02/2024,$639.58,1287275,$628.22,$642.53,$628.22,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
12/02/2022,$407.92,1876030,$401.87,$409.17,$400.16,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/04/2015,$105.59,777019,$105.24,$105.83,$104.96,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/16/2019,$209.99,1337408,$210.99,$214.38,$209.25,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/14/2024,$657.13,1285456,$642.99,$657.645,$642.99,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/08/2019,$224.83,1370165,$219.31,$224.91,$218.8338,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/07/2017,$136.65,866302,$136.27,$137.05,$135.94,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/12/2023,$543.41,1520739,$545.09,$550.12,$540.62,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
08/04/2020,$310.64,1200944,$310.81,$312.38,$307.24,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/07/2022,$567.56,2275300,$586.44,$588.99,$563.77,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/23/2021,$478.59,1218772,$477.56,$482.20,$477.56,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/16/2022,$423.00,2095746,$418.70,$424.39,$414.02,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/30/2017,$157.22,3394132,$154.76,$157.80,$153.91,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/30/2016,$111.61,2191508,$109.37,$111.79,$109.10,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/30/2024,$647.72,1114646,$647.89,$652.14,$646.13,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/01/2021,$563.13,1259555,$567.30,$567.78,$562.67,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/13/2018,$213.71,856623,$213.92,$214.36,$212.24,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/07/2021,$506.09,928985,$505.53,$508.63,$503.12,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
07/14/2023,$483.99,1158078,$479.00,$486.48,$478.433,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
01/08/2016,$93.14,2004696,$94.94,$96.00,$93.02,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
02/07/2020,$294.71,921683,$293.17,$295.77,$291.10,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
10/10/2018,$204.44,2824617,$219.50,$220.01,$204.21,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
09/20/2021,$554.40,1300042,$553.01,$560.21,$547.51,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
12/13/2024,$656.45,1634810,$668.99,$672.70,$653.9783,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
04/13/2015,$97.89,1223048,$98.00,$99.175,$97.89,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
11/09/2015,$97.51,1120475,$98.18,$98.205,$96.75,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
06/20/2017,$140.17,1042187,$140.56,$140.90,$140.03,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
05/28/2020,$283.87,1718150,$282.00,$290.24,$281.38,100000,0.1,0.5,0.1,0.5,0.001,5,100,5000,1000000
